name,cluster_number,enriched_atoms,unenriched_atoms,1_enriched,1_unenriched,2_enriched,2_unenriched,3_enriched,3_unenriched,4_enriched,4_unenriched,r_enriched,r_unenriched,0_enriched,0_unenriched,not_r_enriched,not_r_unenriched
C[C]=CC-16,0,1,3,1,1,0,2,0,0,0,0,0,1,0.0,0.0,1,2
C[C]=CC-15,0,1,3,1,1,0,2,0,0,0,0,0,1,0.0,0.0,1,2
C[C]=CC-14,0,2,2,2,0,0,2,0,0,0,0,0,1,0.0,0.0,2,1
C[C]=CC-13,0,1,3,0,2,1,1,0,0,0,0,0,1,0.0,0.0,1,2
C[C]=CC-12,0,2,2,1,1,1,1,0,0,0,0,0,1,0.0,0.0,2,1
C[C]=CC-11,0,2,2,1,1,1,1,0,0,0,0,0,1,0.0,0.0,2,1
C[C]=CC-10,0,3,1,2,0,1,1,0,0,0,0,0,1,0.0,0.0,3,0
C[C]=CC-9,0,1,3,0,2,1,1,0,0,0,0,1,0,0.0,0.0,0,3
C[C]=CC-8,0,2,2,1,1,1,1,0,0,0,0,1,0,0.0,0.0,1,2
C[C]=CC-7,0,2,2,1,1,1,1,0,0,0,0,1,0,0.0,0.0,1,2
C[C]=CC-6,0,3,1,2,0,1,1,0,0,0,0,1,0,0.0,0.0,2,1
C[C]=CC-5,0,2,2,0,2,2,0,0,0,0,0,1,0,0.0,0.0,1,2
C[C]=CC-4,0,3,1,1,1,2,0,0,0,0,0,1,0,0.0,0.0,2,1
C[C]=CC-3,0,3,1,1,1,2,0,0,0,0,0,1,0,0.0,0.0,2,1
C[C]=CC-2,0,4,0,2,0,2,0,0,0,0,0,1,0,0.0,0.0,3,0
C[C]=CC,0,0,4,0,2,0,2,0,0,0,0,0,1,0.0,0.0,0,3
C=C=CC-16,1,1,3,1,1,0,2,0,0,0,0,0,0,0.0,0.0,1,3
C=C=CC-15,1,1,3,0,2,1,1,0,0,0,0,0,0,0.0,0.0,1,3
C=C=CC-14,1,2,2,1,1,1,1,0,0,0,0,0,0,0.0,0.0,2,2
C=C=CC-13,1,1,3,1,1,0,2,0,0,0,0,0,0,0.0,0.0,1,3
C=C=CC-12,1,2,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,2,2
C=C=CC-11,1,2,2,1,1,1,1,0,0,0,0,0,0,0.0,0.0,2,2
C=C=CC-10,1,3,1,2,0,1,1,0,0,0,0,0,0,0.0,0.0,3,1
C=C=CC-9,1,1,3,0,2,1,1,0,0,0,0,0,0,0.0,0.0,1,3
C=C=CC-8,1,2,2,1,1,1,1,0,0,0,0,0,0,0.0,0.0,2,2
C=C=CC-7,1,2,2,0,2,2,0,0,0,0,0,0,0,0.0,0.0,2,2
C=C=CC-6,1,3,1,1,1,2,0,0,0,0,0,0,0,0.0,0.0,3,1
C=C=CC-5,1,2,2,1,1,1,1,0,0,0,0,0,0,0.0,0.0,2,2
C=C=CC-4,1,3,1,2,0,1,1,0,0,0,0,0,0,0.0,0.0,3,1
C=C=CC-3,1,3,1,1,1,2,0,0,0,0,0,0,0,0.0,0.0,3,1
